datapoint,label,animal,mx,my,mz,sx,sy,sz,DtWP,speed,error
35,0,1,0.7492179870605469,0.1631727218627929,-0.7821950912475586,0.148807843436759,0.1034449537682472,0.1439964889747074,2.573574034494269,0.22,6.7
36,0,1,0.7584524154663086,0.1392402648925781,-0.7661046981811523,0.1630947864162699,0.1004891366417896,0.1237772011567291,1.4435571836309693,0.16,6.5600000000000005
37,0,1,0.752161979675293,0.1464099884033203,-0.7695503234863281,0.1684819839986241,0.1246155280621181,0.1353027829630891,0.7059014245112752,0.17,6.49
38,0,1,0.6722354888916016,0.136993408203125,-0.8462305068969727,0.1112115705136567,0.0911589997585389,0.0811353053557332,0.317890209431271,0.17,6.41
39,3,1,0.5658760070800781,0.1113004684448242,-0.8723154067993164,0.1085226817136241,0.0969965558690845,0.0587951934789561,1.9202932647562236,0.16,6.46
40,3,1,0.8361234664916992,-0.0439329147338867,-0.6960649490356445,0.0397113891050141,0.0325918558979892,0.0329397800642452,0.6242395387664549,0.17,5.74
41,3,1,0.6331994533538818,0.080998420715332,-0.8619654178619385,0.0593169752721473,0.054041571993933,0.0458453892637683,1.3838784208014796,0.165,5.960000000000001
42,3,1,0.4438123703002929,0.1494359970092773,-0.96380615234375,0.0334324796516993,0.0222571159107113,0.0187642438874567,2.5437227621486063,0.3,6.05
43,3,1,0.5681390762329102,0.2242717742919922,-0.8838672637939453,0.0835773475804332,0.060361931420547,0.0456104371228665,1.8545055677263407,0.14,6.08
44,3,1,0.5717868804931641,0.122410774230957,-0.9204559326171876,0.0267296319493871,0.0178966478256291,0.0168393476858905,2.2575617294009813,0.15,6.08
45,3,1,0.5370111465454102,0.120427131652832,-0.9401845932006836,0.0150257015631916,0.0067239077277401,0.0146548008742929,1.4282538598928411,0.14,5.75
46,3,1,0.5141067504882812,0.1477851867675781,-0.9534521102905272,0.0230841382564827,0.0150826926226204,0.0156323740895373,1.9706959321701845,0.15,5.51
47,3,1,0.2650728225708008,0.1928844451904297,-1.0207185745239258,0.0463535299548015,0.0471766799118072,0.0338592311295132,1.1454257036290834,0.25,5.68
48,4,1,0.3397064208984375,0.2631778717041015,-0.984400749206543,0.0914406635381914,0.0987950781261342,0.0404340239449747,1.0691697056743943,0.19,5.28
49,2,1,0.0178108215332031,0.1971702575683593,-1.0276994705200195,0.0327863066725332,0.0319637978953734,0.0181853438202824,1.87867452301115,0.22,5.53
50,2,1,0.1364755630493164,0.1994829177856445,-1.0356378555297852,0.0843122941807274,0.0562064721875487,0.0388212887940139,0.646334370745212,0.15,5.68
51,2,1,0.3449020385742187,0.2095441818237304,-0.987074851989746,0.0648602347520062,0.1294542548381347,0.0562415281554972,0.7401083126297602,0.14,5.92
52,4,1,0.1578617095947265,0.1902532577514648,-1.0296812057495115,0.1051023892374655,0.0585147067350592,0.063729724502785,1.1785629112648461,0.16,5.65
53,4,1,0.1946029663085937,0.1975727081298828,-1.029372215270996,0.0801979403337778,0.0640796746450691,0.0579790583258425,1.733678371830539,0.13,5.86
54,4,1,0.1032218933105468,0.2110786437988281,-1.0289859771728516,0.1063853106911267,0.0731013843260021,0.0703052937839114,1.6575322911182184,0.38,5.7
55,4,1,0.0791158676147461,0.2140083312988281,-1.025181770324707,0.1055963720144652,0.0814282761876134,0.0900820530520141,0.6206348058452542,0.28,5.55
56,4,1,0.1093606948852539,0.1826257705688476,-1.0201711654663086,0.0943162294059655,0.1369805950805682,0.0634774861135882,0.6495103494781335,0.14,5.41
57,4,1,-0.1137323379516601,0.2602462768554687,-0.9817047119140624,0.0646192045331612,0.0740527666428611,0.0402866893267418,0.5269595852921442,0.25,5.45
58,4,1,0.3934354782104492,0.1213197708129882,-0.8735513687133789,0.2307751131652735,0.2966695650035719,0.1477958459371309,2.9396807495747974,0.68,5.62
