datapoint,label,animal,mx,my,mz,s1x,s1y,s1z,s2x,s2y,s2z,DtWP,speed,error
10,0,2,0.9767608642578124,0.1626777648925781,0.158477783203125,0.158242825691471,0.1316425081592542,0.1220361276201867,0.1215324534982139,0.0834937293459224,0.0842982024206359,6.6277914947295935,0.21000000000000002,7.165
11,0,2,0.9614543914794922,0.2349452972412109,0.0292644500732421,0.248785856673712,0.1779309668305461,0.1541190459279847,0.1989988664419435,0.1367060314969002,0.1154016227278277,7.3625614009308515,0.6000000000000001,7.33
12,0,2,0.986684799194336,0.2160301208496093,0.0415515899658203,0.1953693817240216,0.1242356513139222,0.1264959072000867,0.1445063704085383,0.0832610026663019,0.0873150219405366,6.348226656351613,0.14024999999999999,6.33
13,0,2,0.9534282684326172,0.2399768829345703,0.0468482971191406,0.1516222349716333,0.1102642436576499,0.0791350684855853,0.1120442670557709,0.0740370271733726,0.0601185705351214,6.702870778052704,0.265,6.220000000000001
14,0,2,0.9841690063476562,0.2264842987060547,0.1298351287841797,0.1853290659480649,0.125217594909775,0.1241289927768119,0.1417225522298393,0.0860117931547601,0.0868440139478053,3.9775004285478732,0.36,6.705
15,0,2,0.9908046722412108,0.1154212951660156,0.0492401123046875,0.1581492151627645,0.0986125243635702,0.0985012324433201,0.119202122708687,0.0671391573635293,0.0705867569387905,4.30868140043951,0.325,7.0600000000000005
16,0,2,0.9201011657714844,0.3556137084960937,0.1348495483398437,0.1207489030976085,0.1322257388082585,0.1063258154016568,0.0975948227036157,0.0828319252563123,0.0759491010630867,12.273077876859428,0.71,6.19
17,0,2,0.9409313201904296,0.39971923828125,0.083810806274414,0.1435767562808308,0.1427990441038112,0.0988336811258825,0.114526894673128,0.0947786119272849,0.0723371228343111,13.773037382590152,0.41000000000000003,6.07
18,0,2,0.9214706420898438,0.3566112518310547,0.1714248657226562,0.1602187253041938,0.112843358587196,0.1096088620966071,0.1177188623748525,0.0757369996077021,0.0759307298861913,9.681217617604839,0.16999999999999998,6.11
19,0,2,0.9283428192138672,0.34869384765625,0.2016239166259765,0.1424491029097528,0.1143312275845251,0.0814299105625856,0.1170345188252123,0.0750331148762896,0.0637954426070932,7.659002920059254,0.26,6.75
20,0,2,0.9385528564453124,0.3072166442871094,0.1743507385253906,0.1662000802806724,0.1098271921910038,0.1077553956509111,0.1244478158206303,0.0757262378476223,0.0765386472247241,8.27893515846367,0.525,6.905
21,0,2,0.9222984313964844,0.3132648468017578,0.2874736785888672,0.1192987615121485,0.0956994410502549,0.0708410279937241,0.090637308666318,0.0625034239954728,0.0522515827657965,6.7150382505535555,0.78,6.99
22,0,2,0.94036865234375,0.2719573974609375,0.1704006195068359,0.1346946830463827,0.1020293401357042,0.0830560487190009,0.1084228075380943,0.0687270656362396,0.0571663942840672,4.77701949304479,0.48,6.57
23,0,2,0.9211597442626952,0.3157367706298828,0.3045024871826172,0.1364087744577068,0.103223906775147,0.0687077346817431,0.1077223367381768,0.0698987014490366,0.0532003017006165,7.933215799729642,0.28,6.0649999999999995
24,0,2,0.8777999877929688,0.2891883850097656,0.350381851196289,0.1375304456173919,0.1137277225357186,0.1103191378098288,0.1042393892810873,0.0738761421494416,0.0729170999296629,9.972942885672838,0.32,6.605
25,0,2,0.8718719482421875,0.3284168243408203,0.333627700805664,0.1284136185210035,0.1109275948013839,0.0723624935057601,0.0959473486963945,0.0754386958039571,0.0539929091585278,10.036960230200075,0.545,7.22
26,0,2,0.9166469573974608,0.2278251647949218,0.2671890258789062,0.1617370884399102,0.1057715266508364,0.1047515910631207,0.1177700484674788,0.0736132293967662,0.0701441024328021,7.692221014704495,0.265,7.1850000000000005
